event_ts,machine_id,downtime_min,failure_mode,repair_cost
2025-02-13 22:00:00,M001,71.8,Hydraulic,199.06
2025-02-14 10:00:00,M001,59.1,Electrical,162.95
2025-01-11 21:00:00,M002,87.9,Vibration,192.91
2025-01-29 11:00:00,M002,159.4,Vibration,370.34
2025-01-28 16:00:00,M002,85.2,Bearing,140.36
2025-01-18 20:00:00,M002,26.6,Hydraulic,68.6
2025-02-04 00:00:00,M002,189.1,Hydraulic,363.24
2025-02-05 13:00:00,M003,147.2,Vibration,358.99
2025-02-05 11:00:00,M003,360.3,Electrical,962.44
2025-01-19 21:00:00,M004,171.1,Bearing,366.96
2025-01-14 13:00:00,M005,56.6,Bearing,114.56
2025-01-31 12:00:00,M006,59.3,Vibration,98.94
2025-01-14 01:00:00,M006,31.1,Electrical,71.1
2025-02-11 11:00:00,M007,117.0,Hydraulic,313.27
2025-01-20 05:00:00,M007,45.4,Bearing,83.15
2025-02-11 07:00:00,M007,102.8,Vibration,280.93
2025-01-25 00:00:00,M007,12.0,Thermal,29.53
2025-01-17 08:00:00,M007,27.3,Bearing,46.88
2025-01-27 04:00:00,M007,41.4,Thermal,87.66
2025-02-07 03:00:00,M008,12.0,Hydraulic,19.81
2025-01-25 22:00:00,M008,70.1,Hydraulic,136.15
2025-01-19 06:00:00,M008,12.7,Bearing,26.84
2025-01-15 17:00:00,M008,95.9,Hydraulic,251.53
2025-01-15 05:00:00,M009,86.9,Hydraulic,178.85
2025-01-15 21:00:00,M009,38.6,Bearing,65.53
2025-02-13 16:00:00,M009,39.4,Thermal,92.87
2025-02-01 03:00:00,M009,42.4,Electrical,73.72
2025-01-15 05:00:00,M009,63.5,Electrical,177.04
2025-02-12 04:00:00,M010,84.8,Thermal,149.59
2025-01-28 17:00:00,M010,12.0,Thermal,19.57
2025-01-17 02:00:00,M011,174.3,Electrical,428.99
2025-01-12 07:00:00,M012,18.3,Thermal,34.89
2025-02-07 08:00:00,M012,150.6,Electrical,416.4
2025-01-17 09:00:00,M013,12.0,Vibration,32.36
2025-01-11 23:00:00,M013,12.9,Bearing,27.41
2025-01-30 21:00:00,M013,67.5,Vibration,110.35
2025-01-11 20:00:00,M014,12.0,Thermal,28.8
2025-01-23 12:00:00,M014,16.4,Bearing,31.79
2025-02-10 15:00:00,M014,183.2,Electrical,353.05
2025-01-15 03:00:00,M014,167.7,Electrical,408.99
2025-02-12 07:00:00,M015,36.7,Electrical,63.42
2025-01-19 21:00:00,M016,121.2,Thermal,228.61
2025-01-15 16:00:00,M017,148.7,Vibration,304.15
2025-01-29 10:00:00,M017,44.8,Hydraulic,99.8
2025-01-17 02:00:00,M017,61.6,Bearing,123.1
2025-02-14 01:00:00,M017,263.9,Electrical,470.56
2025-02-03 11:00:00,M017,22.3,Thermal,48.68
2025-02-06 02:00:00,M018,32.3,Thermal,75.68
2025-02-02 22:00:00,M018,20.1,Bearing,55.3
2025-02-12 23:00:00,M019,107.5,Vibration,208.63
2025-01-24 19:00:00,M019,50.8,Vibration,92.51
2025-02-08 20:00:00,M020,92.1,Vibration,227.49
