part_id,material,volume_mm3,surface_area_mm2,tolerance_um,complexity_idx,rev,created_at
P000001,Aluminum,6705.0,373.0,67.0,0.535,1,2025-02-05
P000002,ABS,16180.0,716.0,80.0,0.372,1,2025-02-22
P000003,Steel,9677.0,462.0,20.0,0.365,1,2025-01-05
P000004,ABS,3755.0,263.0,88.0,0.508,1,2025-02-12
P000005,Titanium,36398.0,1256.0,37.0,0.152,1,2025-01-13
P000006,Steel,14731.0,632.0,52.0,0.272,1,2025-01-01
P000007,Steel,16903.0,636.0,38.0,0.199,1,2025-02-16
P000008,Aluminum,20659.0,810.0,89.0,0.033,1,2025-01-25
P000009,Aluminum,11480.0,466.0,39.0,0.248,1,2025-01-27
P000010,Steel,8541.0,466.0,29.0,0.845,1,2025-02-22
P000011,ABS,15665.0,611.0,85.0,0.02,1,2025-02-14
P000012,Brass,20473.0,696.0,20.0,0.484,1,2025-02-18
P000013,Steel,24603.0,873.0,41.0,0.481,1,2025-01-11
P000014,Aluminum,6151.0,343.0,59.0,0.154,1,2025-01-05
P000015,Steel,20601.0,852.0,28.0,0.758,1,2025-02-28
P000016,Titanium,4893.0,302.0,15.0,0.773,1,2025-01-07
P000017,Aluminum,16523.0,661.0,52.0,0.73,1,2025-01-23
P000018,Steel,8702.0,459.0,30.0,0.502,1,2025-02-25
P000019,Titanium,17738.0,716.0,41.0,0.762,1,2025-01-09
P000020,Aluminum,19111.0,654.0,49.0,0.455,1,2025-02-13
P000021,ABS,16085.0,660.0,77.0,0.182,1,2025-01-10
P000022,Titanium,19870.0,678.0,28.0,0.726,1,2025-01-19
P000023,Aluminum,18687.0,795.0,55.0,0.356,1,2025-01-05
P000024,Steel,13429.0,534.0,35.0,0.25,1,2025-02-01
P000025,Titanium,26461.0,874.0,31.0,0.706,1,2025-01-03
P000026,Aluminum,11918.0,493.0,52.0,0.39,1,2025-01-31
P000027,Steel,8835.0,481.0,42.0,0.525,1,2025-01-09
P000028,ABS,13828.0,553.0,73.0,0.284,1,2025-02-22
P000029,ABS,8147.0,396.0,83.0,0.285,1,2025-02-13
P000030,Steel,12251.0,492.0,45.0,0.705,1,2025-01-23
P000031,,12240.0,604.0,62.0,0.567,1,2025-01-05
P000032,Steel,31437.0,1091.0,33.0,0.259,1,2025-01-14
P000033,Steel,34316.0,959.0,37.0,0.28,1,2025-02-27
P000034,Steel,5824.0,293.0,28.0,0.487,1,2025-02-06
P000035,Steel,7625.0,357.0,35.0,0.713,1,2025-01-12
P000036,Brass,19454.0,800.0,45.0,0.205,1,2025-02-09
P000037,ABS,14760.0,668.0,99.0,0.101,1,2025-03-01
P000038,Steel,33447.0,1147.0,48.0,0.44,1,2025-02-25
P000039,ABS,21112.0,828.0,98.0,0.377,1,2025-01-17
P000040,Aluminum,11553.0,470.0,79.0,0.756,1,2025-02-03
P000041,Steel,55625.0,1314.0,47.0,0.229,1,2025-01-31
P000042,Steel,5539.0,327.0,37.0,0.154,1,2025-01-25
P000043,,16486.0,712.0,83.0,0.373,1,2025-02-01
P000044,Steel,24695.0,951.0,30.0,0.132,1,2025-02-15
P000045,Steel,18616.0,639.0,33.0,0.561,1,2025-01-21
P000046,ABS,8468.0,448.0,56.0,0.157,1,2025-01-28
P000047,Steel,6383.0,384.0,32.0,0.371,1,2025-01-12
P000048,Titanium,19866.0,830.0,35.0,0.457,1,2025-01-07
P000049,Aluminum,10797.0,523.0,59.0,0.24,1,2025-02-15
P000050,ABS,11735.0,577.0,73.0,0.356,1,2025-01-21
P000051,Steel,15271.0,677.0,26.0,0.423,1,2025-02-06
P000052,Steel,11583.0,482.0,47.0,0.715,1,2025-02-03
P000053,ABS,29292.0,943.0,84.0,0.117,1,2025-01-28
P000054,Steel,26559.0,818.0,54.0,0.541,1,2025-01-26
P000055,Steel,5444.0,326.0,29.0,0.33,1,2025-01-11
P000056,Aluminum,16834.0,597.0,75.0,0.746,1,2025-02-13
