event_ts,part_id,machine_id,cycle_time_sec,scrap_flag,scrap_reason,energy_kwh,operator_id
2025-01-17 04:46:00,P000001,M013,20.29,False,,0.775,O001
2025-01-13 15:07:00,P000001,M018,21.8,False,,0.836,O002
2025-01-26 23:25:00,P000001,M019,19.05,False,,0.743,O001
2025-02-02 10:15:00,P000001,M007,19.31,False,,0.837,O001
2025-01-14 05:52:00,P000001,M014,24.3,False,,1.021,O007
2025-01-13 12:18:00,P000001,M008,20.93,False,,0.84,O002
2025-02-04 09:53:00,P000001,M014,25.23,False,,0.944,O001
2025-02-05 01:37:00,P000001,M004,21.85,False,,0.943,O004
2025-02-08 00:48:00,P000001,M019,20.37,False,,0.808,O001
2025-02-05 14:21:00,P000001,M019,23.51,False,,0.97,O007
2025-01-20 09:28:00,P000002,M002,14.51,False,,0.469,O009
2025-01-16 09:27:00,P000002,M010,14.11,False,,0.424,O007
2025-01-16 21:33:00,P000002,M018,14.31,False,,0.449,O002
2025-02-05 07:35:00,P000002,M010,12.52,False,,0.358,O009
2025-01-18 13:24:00,P000002,M004,13.58,False,,0.41,O010
2025-01-27 06:45:00,P000003,M004,36.3,False,,1.989,O009
2025-01-13 04:34:00,P000003,M019,41.56,False,,2.488,O001
2025-02-07 12:07:00,P000003,M007,38.57,False,,2.07,O008
2025-02-03 12:46:00,P000003,M014,42.66,False,,2.493,O006
2025-01-31 12:33:00,P000003,M019,37.1,True,Surface,2.103,O008
2025-01-23 23:25:00,P000003,M008,39.28,True,Warp,2.156,O003
2025-01-14 01:24:00,P000003,M019,40.68,False,,2.221,O005
2025-02-03 05:39:00,P000003,M016,37.29,False,,2.207,O006
2025-01-23 10:30:00,P000004,M020,12.3,False,,0.334,O002
2025-01-15 16:57:00,P000004,M017,11.89,False,,0.325,O007
2025-01-17 20:10:00,P000004,M011,14.26,False,,0.403,O003
2025-02-01 14:04:00,P000004,M014,14.66,False,,0.397,O001
2025-01-13 20:46:00,P000004,M018,11.79,False,,0.347,O010
2025-01-24 14:41:00,P000004,M011,11.38,,,0.364,O006
2025-02-06 09:12:00,P000004,M016,13.62,True,Dimensional,0.377,O010
2025-01-13 11:06:00,P000004,M003,11.55,False,,0.315,O005
2025-01-31 21:50:00,P000004,M003,14.28,True,Surface,0.461,O001
2025-02-08 18:50:00,P000004,M019,11.5,False,,0.351,O008
2025-01-23 06:51:00,P000004,M013,12.02,False,,0.377,O006
2025-01-11 08:38:00,P000004,M015,12.98,False,,0.358,O006
2025-02-07 03:17:00,P000005,M004,36.73,False,,2.616,O008
2025-01-13 00:23:00,P000005,M007,40.49,False,,2.597,O005
2025-01-16 05:16:00,P000005,M008,36.55,False,,2.429,O007
2025-01-28 03:01:00,P000005,M016,36.95,True,Warp,2.633,O002
2025-01-30 18:37:00,P000005,M013,36.81,False,,2.611,O009
2025-01-22 23:28:00,P000005,M005,41.88,False,,3.011,O007
2025-02-04 08:59:00,P000005,M009,37.1,False,,2.664,O007
2025-01-27 15:32:00,P000006,M008,26.0,False,,1.489,O003
2025-01-14 02:38:00,P000006,M006,28.49,True,Warp,1.606,O003
2025-02-09 07:16:00,P000006,M008,28.42,False,,1.413,O001
2025-02-01 09:42:00,P000006,M019,30.28,False,,1.807,O003
2025-01-22 06:59:00,P000006,M010,29.23,False,,1.675,O001
2025-01-16 23:07:00,P000006,M014,32.59,False,,1.657,O009
2025-01-27 03:19:00,P000006,M020,29.06,False,,1.444,O010
2025-01-24 20:00:00,P000006,M005,29.79,True,,1.505,O009
2025-02-09 03:23:00,P000006,M002,32.75,False,,1.935,O008
2025-02-04 18:52:00,P000006,M013,27.83,False,,1.615,O007
2025-01-28 06:29:00,P000007,M004,27.63,True,Dimensional,1.608,O008
2025-01-13 03:59:00,P000007,M007,33.19,False,,1.725,O002
2025-01-19 20:01:00,P000007,M015,29.27,False,,1.762,O003
2025-01-15 08:04:00,P000007,M011,31.42,False,,1.764,O010
2025-01-12 17:25:00,P000007,M004,33.51,False,,1.901,O001
2025-02-05 03:04:00,P000007,M005,34.56,False,,1.826,O009
2025-01-14 22:49:00,P000007,M012,29.66,False,,1.695,O010
2025-01-11 11:51:00,P000007,M003,29.82,False,,1.729,O004
2025-02-07 06:43:00,P000007,M013,30.61,True,Surface,1.54,O003
2025-01-26 03:26:00,P000007,M020,27.47,True,Dimensional,1.605,O006
2025-01-15 22:10:00,P000007,M004,30.76,False,,1.809,O008
2025-02-01 04:43:00,P000008,M016,12.5,False,,0.499,O005
2025-01-14 05:48:00,P000008,M005,11.06,False,,0.451,O002
2025-01-25 22:14:00,P000008,M009,11.97,False,,0.445,O008
2025-01-17 16:20:00,P000008,M017,10.21,False,,0.443,O001
2025-01-19 16:08:00,P000008,M017,12.43,False,,0.482,O006
2025-01-17 00:07:00,P000008,M018,11.28,False,,0.437,O001
2025-02-03 08:50:00,P000008,M010,11.42,False,,0.5,O002
2025-01-22 05:12:00,P000008,M017,10.9,False,,0.396,O006
2025-01-17 22:27:00,P000008,M012,10.72,False,,0.411,O004
2025-02-03 13:43:00,P000008,M018,11.92,False,,0.445,O009
2025-01-25 08:04:00,P000008,M008,12.39,False,,0.498,O010
2025-01-19 05:09:00,P000008,M008,11.26,False,,0.421,O007
2025-01-19 10:21:00,P000009,M017,23.82,True,Surface,0.937,O008
2025-01-11 15:39:00,P000009,M001,26.27,True,Dimensional,1.12,O005
2025-01-22 03:05:00,P000009,M007,25.38,False,,0.965,O010
2025-01-26 00:02:00,P000009,M015,23.61,False,,0.88,O006
2025-01-26 22:16:00,P000009,M003,25.88,False,,0.95,O004
2025-01-14 23:34:00,P000009,M008,23.63,False,,0.934,O008
2025-01-19 06:51:00,P000009,M011,26.73,False,,1.049,O004
2025-02-01 07:11:00,P000009,M020,27.64,False,,1.179,O010
2025-02-01 03:42:00,P000010,M012,45.99,True,Burr,2.344,O002
2025-01-28 00:23:00,P000010,M007,47.9,True,Warp,2.476,O008
2025-01-30 01:57:00,P000010,M011,53.33,True,Dimensional,2.756,O002
2025-01-31 09:53:00,P000010,M013,55.12,False,,2.788,O002
2025-01-17 13:30:00,P000010,M006,51.62,True,Burr,2.598,O003
2025-02-06 05:19:00,P000011,M015,8.53,False,,0.279,O003
2025-02-07 04:00:00,P000011,M020,10.28,,,0.313,O008
2025-02-09 05:54:00,P000011,M012,9.04,False,,0.267,O003
2025-02-04 07:16:00,P000011,M018,9.58,False,,0.276,O003
2025-01-11 07:22:00,P000011,M001,9.48,False,,0.294,O002
2025-02-03 07:10:00,P000011,M005,11.02,False,,0.361,O007
2025-01-19 04:46:00,P000011,M007,8.2,False,,0.226,O001
2025-01-20 00:24:00,P000012,M010,32.53,False,,1.53,O009
2025-01-21 06:43:00,P000012,M019,33.66,True,Surface,1.662,O006
2025-02-04 02:34:00,P000012,M014,32.73,False,,1.627,O003
2025-01-13 02:31:00,P000012,M012,36.84,True,,1.669,O008
2025-02-02 20:26:00,P000012,M014,40.84,True,Warp,2.139,
2025-02-03 12:53:00,P000012,M005,36.92,False,,1.804,O009
2025-02-02 13:39:00,P000012,M001,46.11,True,Warp,2.384,O008
2025-02-07 00:42:00,P000012,M001,38.46,False,,1.705,O003
2025-01-18 04:14:00,P000012,M005,32.99,False,,1.67,O008
2025-02-04 15:49:00,P000013,M002,32.16,False,,1.866,O006
2025-02-02 22:10:00,P000013,M017,36.05,False,,1.908,O009
2025-02-01 07:00:00,P000013,M004,38.3,False,,2.274,O009
2025-01-12 22:03:00,P000013,M008,35.0,True,Surface,2.007,O004
2025-01-12 06:05:00,P000013,M004,41.66,False,,2.264,O009
2025-01-30 21:53:00,P000013,M018,42.11,,Burr,2.263,O001
2025-01-25 03:39:00,P000014,M020,18.22,False,,0.756,O009
2025-02-06 22:03:00,P000014,M017,19.51,False,,0.78,O004
2025-01-22 22:45:00,P000014,M015,18.29,False,,0.753,O009
2025-02-03 14:29:00,P000014,M016,18.68,False,,0.729,O009
2025-01-21 14:30:00,P000014,M017,18.62,,,0.693,O005
2025-02-04 19:08:00,P000014,M007,17.82,False,,0.769,O008
2025-01-16 13:47:00,P000014,M014,16.16,False,,0.672,O002
2025-01-28 04:33:00,P000014,M015,19.3,False,,0.709,O006
2025-01-13 15:14:00,P000014,M008,17.01,False,,0.659,O007
2025-01-13 15:52:00,P000014,M007,19.33,False,,0.725,O005
2025-01-15 21:38:00,P000014,M005,17.31,False,,0.663,O006
2025-01-16 20:10:00,P000014,M009,17.64,False,,0.649,O003
2025-01-20 07:50:00,P000015,M004,48.99,True,Dimensional,2.923,O007
2025-01-17 17:48:00,P000015,M008,46.29,False,,2.676,O003
2025-01-29 23:20:00,P000015,M017,46.59,True,Surface,2.541,O007
2025-01-29 12:08:00,P000015,M007,50.84,False,,2.948,O006
2025-01-24 19:54:00,P000015,M003,46.48,False,,2.675,O006
2025-01-11 05:16:00,P000015,M011,42.85,False,,2.253,O009
2025-01-31 04:59:00,P000015,M015,46.96,False,,2.472,O001
2025-01-27 19:48:00,P000015,M011,44.76,True,,2.579,O009
2025-01-23 18:42:00,P000015,M017,50.86,False,,2.879,O002
2025-01-15 11:15:00,P000015,M008,46.22,,,,O002
2025-01-14 03:49:00,P000015,M009,41.79,False,,2.426,O005
2025-01-12 03:14:00,P000015,M006,55.55,True,Warp,3.324,O005
2025-01-22 02:28:00,P000016,M013,69.45,False,,4.426,
2025-02-03 18:06:00,P000016,M017,73.61,False,,5.393,O010
2025-02-01 20:14:00,P000016,M011,68.44,False,,4.484,O002
2025-01-23 00:48:00,P000016,M002,71.22,True,Dimensional,5.283,O003
2025-01-13 15:05:00,P000016,M009,64.66,,,4.769,O001
2025-02-08 04:58:00,P000016,M003,75.06,False,,4.892,O005
2025-01-14 03:28:00,P000016,M020,66.75,False,,4.318,O004
2025-01-13 08:46:00,P000016,M009,76.39,True,Dimensional,5.575,O002
2025-01-10 20:36:00,P000016,M011,63.42,False,,4.851,O009
2025-01-29 08:18:00,P000016,M009,70.25,True,Warp,5.313,O010
2025-01-12 07:11:00,P000016,M017,59.51,False,,4.339,O004
2025-01-17 16:20:00,P000017,M009,30.43,False,,1.159,O001
2025-01-18 13:51:00,P000017,M007,31.7,False,,1.258,O005
2025-02-07 22:40:00,P000017,M010,29.28,True,Warp,1.147,O009
2025-01-23 12:42:00,P000017,M015,33.81,True,Warp,1.263,O009
2025-01-22 15:28:00,P000017,M012,33.07,False,,1.431,O001
2025-01-21 17:33:00,P000017,M002,31.93,False,,1.251,O001
2025-02-02 08:18:00,P000018,M018,39.62,False,,2.374,O004
2025-02-02 17:40:00,P000018,M016,38.62,False,,2.131,O004
2025-01-30 16:18:00,P000018,M004,41.37,True,Dimensional,2.215,O007
2025-02-04 04:16:00,P000018,M013,47.62,True,Surface,2.453,O009
2025-01-20 03:02:00,P000018,M008,44.95,True,Warp,2.496,O006
2025-01-28 18:02:00,P000019,M012,56.5,True,Warp,3.579,O001
2025-01-10 23:34:00,P000019,M003,52.89,False,,3.473,O005
2025-01-29 22:29:00,P000019,M006,54.63,False,,3.854,O001
2025-01-14 04:16:00,P000019,M013,49.08,False,,3.12,O009
2025-01-23 03:56:00,P000019,M020,57.04,False,,4.06,O004
2025-01-23 16:05:00,P000019,M002,50.76,False,,3.689,O008
