inspection_ts,part_id,dim_dev_um,defect_type,status
2025-01-11 20:05:00,P000001,21.9,Surface,PASS
2025-02-12 20:01:00,P000002,0.7,Surface,PASS
2025-01-27 11:11:00,P000002,45.7,None,PASS
2025-02-13 16:54:00,P000003,6.4,None,PASS
2025-01-26 04:57:00,P000003,6.5,Geometry,PASS
2025-01-11 22:33:00,P000004,,Surface,PASS
2025-01-15 02:55:00,P000004,8.3,Geometry,PASS
2025-01-24 04:39:00,P000005,9.2,None,PASS
2025-01-23 15:38:00,P000005,6.4,Surface,PASS
2025-02-11 23:56:00,P000006,8.7,Surface,PASS
2025-02-04 06:10:00,P000007,47.3,Dimension,FAIL
2025-02-08 08:07:00,P000008,1.3,None,PASS
2025-02-01 10:00:00,P000009,8.0,None,PASS
2025-01-25 12:46:00,P000009,16.2,Surface,PASS
2025-02-14 02:32:00,P000010,31.8,Dimension,FAIL
2025-02-07 18:15:00,P000011,14.1,Surface,PASS
2025-02-07 21:58:00,P000012,,None,PASS
2025-02-03 11:41:00,P000012,9.3,None,PASS
2025-01-21 00:14:00,P000013,12.7,Geometry,PASS
2025-01-16 10:11:00,P000013,38.1,Geometry,PASS
2025-01-11 12:46:00,P000014,2.5,Surface,PASS
2025-01-31 21:06:00,P000015,68.4,Dimension,FAIL
2025-02-01 07:26:00,P000015,7.0,Surface,PASS
2025-02-13 22:52:00,P000016,3.9,Surface,PASS
2025-01-14 04:45:00,P000017,14.8,Geometry,PASS
2025-01-30 07:35:00,P000018,6.3,Geometry,PASS
2025-02-05 23:50:00,P000018,2.7,None,PASS
2025-01-15 13:22:00,P000019,23.9,Geometry,PASS
2025-01-25 09:14:00,P000020,,Geometry,PASS
2025-01-23 07:14:00,P000021,14.4,None,PASS
2025-01-16 18:07:00,P000021,27.1,Geometry,PASS
2025-01-25 04:33:00,P000022,5.8,Geometry,PASS
2025-01-27 01:58:00,P000022,22.0,None,PASS
2025-02-09 19:30:00,P000023,0.4,Geometry,PASS
2025-01-21 03:30:00,P000024,6.6,Surface,PASS
2025-01-22 10:30:00,P000024,1.7,None,PASS
2025-01-12 22:36:00,P000025,15.5,None,PASS
2025-01-19 11:32:00,P000026,25.3,Geometry,PASS
2025-02-02 21:00:00,P000026,32.5,None,PASS
2025-02-09 05:24:00,P000027,7.0,None,PASS
2025-01-17 13:22:00,P000027,7.8,Surface,PASS
2025-02-09 00:49:00,P000028,8.7,None,PASS
2025-01-13 20:44:00,P000029,9.8,Geometry,PASS
2025-01-28 16:05:00,P000029,33.7,None,PASS
2025-02-10 15:31:00,P000030,32.8,None,PASS
2025-01-17 13:39:00,P000031,21.1,None,PASS
2025-02-01 04:38:00,P000031,11.3,None,PASS
2025-01-16 12:05:00,P000032,47.6,Dimension,FAIL
2025-01-13 00:12:00,P000033,9.0,None,PASS
2025-01-18 17:52:00,P000034,20.3,None,PASS
2025-02-13 09:34:00,P000034,3.3,Geometry,PASS
2025-01-24 22:46:00,P000035,17.6,Geometry,PASS
2025-01-16 03:40:00,P000035,3.6,None,PASS
2025-01-29 09:25:00,P000036,7.2,Geometry,PASS
2025-02-05 10:26:00,P000036,17.1,None,PASS
2025-02-03 19:09:00,P000037,5.1,Geometry,PASS
2025-02-13 21:13:00,P000038,16.4,Surface,PASS
2025-01-13 04:45:00,P000038,3.3,Geometry,PASS
2025-01-23 00:22:00,P000039,25.5,Geometry,PASS
2025-01-19 07:35:00,P000039,0.7,None,PASS
2025-01-24 00:32:00,P000040,2.3,Geometry,PASS
2025-01-19 01:06:00,P000041,21.6,Geometry,PASS
2025-02-02 09:48:00,P000041,23.4,Surface,PASS
2025-01-30 07:46:00,P000042,44.0,Dimension,FAIL
2025-01-16 17:34:00,P000042,1.1,Geometry,PASS
2025-01-18 21:24:00,P000043,4.8,Geometry,PASS
2025-01-28 12:19:00,P000043,5.8,None,PASS
2025-01-15 00:46:00,P000044,15.6,None,PASS
2025-01-26 15:22:00,P000044,5.1,None,PASS
2025-01-23 02:05:00,P000045,27.1,None,PASS
2025-02-07 06:05:00,P000045,39.4,Dimension,FAIL
2025-02-09 19:20:00,P000046,7.7,Geometry,PASS
2025-02-05 16:19:00,P000047,11.5,None,PASS
2025-01-14 05:05:00,P000048,28.7,Geometry,PASS
2025-02-11 11:52:00,P000049,23.6,None,PASS
2025-01-22 17:33:00,P000050,30.1,Geometry,PASS
2025-01-25 03:52:00,P000051,34.0,Dimension,FAIL
2025-02-04 02:18:00,P000052,15.5,Surface,PASS
2025-01-13 23:04:00,P000052,51.5,Dimension,FAIL
